"","MVP_Effic_2021","MVP_Ineffic_2021","maxRet_Effic_2021","maxRet_Ineffic_2021","maxSR_Effic_2021","maxSR_Ineffic_2021","minCVaR_Effic_2021","minCVaR_Ineffic_2021","EW_Effic_2021","EW_Ineffic_2021"
"Annualized Return",3.4953,4.2858,3.4953,4.2858,3.8517,0.3814,4.699,-0.3501,2.7447,4.2854
"Annualized Std Dev",1.0282,1.8881,1.0282,1.8881,1.0488,0.6682,1.1724,0.5267,0.9132,1.722
"Annualized Sharpe (Rf=65.55%)",0.3445,0.2653,0.3445,0.2653,0.4477,-0.8025,0.699,-1.4385,0.1356,0.3012
"Omega (L = 0%)",1.44087343713904,1.49980343481157,1.44087343713904,1.49980343481157,1.45966801099319,1.14915518481695,1.50283554822425,0.904169653411733,1.39990436975132,1.4866142372432
"Calmar Ratio",5.82432683485209,5.72231232388827,5.82432683485209,5.72231232388827,6.4579749598166,0.71869276518303,7.73435384501758,-1.31918626832857,4.95238754011378,5.78908604739471
"Modigliani-SP500 (Rf=0.0026)",0.00308520508203969,0.00312774020765873,0.00308520508203969,0.00312774020765873,0.00312579948766985,0.00225266004097546,0.00321816970646526,0.000625537957858077,0.00298252126969589,0.00312821901728312
"Modigliani-Nasdaq100 (Rf=0.0026)",0.00328674378907178,0.00334698303071976,0.00328674378907178,0.00334698303071976,0.00334423453759368,0.00210767399248366,0.003475051406008,-0.000272006136934832,0.00314132056779077,0.00334766113213
"Modigliani-Russel1000 (Rf=0.0026)",0.00309560083612331,0.00313904917409355,0.00309560083612331,0.00313904917409355,0.00313706678761284,0.00224518138177459,0.00323142015853154,0.000557215640788406,0.00299071244287526,0.0031395382635715
"Modigliani-IBrX50 (Rf=0.0026)",0.00339189200304985,0.0034613679625865,0.00339189200304985,0.0034613679625865,0.00345819803228873,0.00203203083551817,0.00360907356139609,0.00090020265355871,0.00322417047201779,0.00346215003993094
"Modigliani-Ibovespa (Rf=0.0026)",0.00337424300384188,0.00344216859156969,0.00337424300384188,0.00344216859156969,0.00343906939898612,0.00204472744696657,0.00358657810641111,0.000983160653448465,0.00321026421684937,0.00344293321668066
